car,price,body,mileage,engV,engType,registration,year,drive
Mercedes-Benz,104999.0,Crossover,1,3.0,Diesel,yes,2016,Full
Toyota,195000.0,Crossover,0,4.5,Diesel,yes,2016,Full
Porsche,49900.0,Crossover,73,3.0,Diesel,yes,2011,Full
Porsche,50900.0,Crossover,53,3.6,Petrol,yes,2013,Full
Porsche,99999.0,Crossover,1,2.99,Diesel,yes,2016,Full
Toyota,0.0,Crossover,0,4.5,Diesel,yes,2016,Full
Toyota,102999.0,Crossover,0,4.5,Diesel,yes,2016,Full
Audi,35900.0,Crossover,143,3.0,Diesel,yes,2010,Full
Honda,16500.0,Sedan,147,2.4,Petrol,yes,2009,Front
Toyota,103999.0,Crossover,0,4.5,Diesel,yes,2016,Full
Porsche,114900.0,Crossover,25,4.8,Petrol,yes,2013,Full
Porsche,26500.0,Crossover,160,4.8,Petrol,yes,2008,Full
Mitsubishi,12999.0,Crossover,140,2.4,Gas,yes,2007,Full
Honda,30000.0,Sedan,52,3.5,Gas,yes,2014,Front
Porsche,26900.0,Crossover,135,4.8,Petrol,yes,2008,Full
Toyota,80000.0,Crossover,23,4.5,Diesel,yes,2014,Full
BMW,8500.0,Sedan,260,2.2,Gas,yes,2001,Rear
Mercedes-Benz,7000.0,Van,197,2.2,Diesel,yes,2002,Front
Audi,36000.0,Crossover,145,3.0,Petrol,yes,2010,Full
Mercedes-Benz,9500.0,Van,280,2.2,Diesel,yes,2005,Rear
Toyota,100000.0,Crossover,0,4.5,Diesel,yes,2016,Full
Mercedes-Benz,16500.0,Other,107,2.2,Diesel,yes,2010,Front
Toyota,15500.0,Sedan,120,3.5,Petrol,yes,2008,Front
Porsche,0.0,Sedan,22,4.8,Petrol,yes,2014,Full
Mercedes-Benz,10999.0,Van,191,2.2,Diesel,yes,2007,Rear
Audi,0.0,Crossover,0,3.0,Diesel,yes,2015,Full
Audi,88888.0,Crossover,0,3.0,Diesel,yes,2015,Full
Toyota,0.0,Crossover,49,4.5,Diesel,yes,2014,Full
Mercedes-Benz,16500.0,Van,223,2.2,Diesel,yes,2009,Rear
Volkswagen,17900.0,Crossover,145,3.0,Diesel,yes,2007,Full
Volkswagen,0.0,Van,165,2.0,Diesel,yes,2013,Front
Volkswagen,20000.0,Crossover,115,2.5,Diesel,yes,2008,Full
BMW,21000.0,Sedan,186,3.0,Petrol,yes,2007,Rear
Hyundai,11800.0,Sedan,65,1.4,Petrol,yes,2013,Front
Mercedes-Benz,0.0,Van,450,2.2,Diesel,yes,2000,Front
Volkswagen,10000.0,Van,231,1.9,Diesel,yes,2005,Unknown
Volkswagen,37990.0,Crossover,140,3.0,Diesel,yes,2012,Full
Porsche,0.0,Crossover,0,3.0,Diesel,yes,2016,Full
BMW,3900.0,Vagon,240,3.0,Diesel,no,2001,Rear
Volkswagen,33500.0,Crossover,98,2.65,Petrol,yes,2013,Full
Hyundai,9700.0,Sedan,54,1.4,Petrol,yes,2013,Front
Nissan,12400.0,Hatch,26,2.65,Other,yes,2011,Unknown
Mercedes-Benz,6200.0,Sedan,221,1.8,Gas,yes,2004,Rear
Hyundai,6900.0,Crossover,105,1.6,Petrol,yes,2009,Front
Mercedes-Benz,20300.0,Sedan,198,1.8,Gas,yes,2011,Rear
Audi,18500.0,Crossover,185,3.6,Petrol,yes,2008,Full
Toyota,73900.0,Crossover,1,4.5,Diesel,yes,2016,Full
Toyota,30500.0,Crossover,40,2.7,Petrol,yes,2011,Full
Toyota,30800.0,Crossover,56,2.7,Gas,yes,2011,Full
Toyota,25500.0,Crossover,200,4.0,Petrol,yes,2007,Full
Mercedes-Benz,29500.0,Sedan,37,1.8,Petrol,yes,2012,Unknown
Opel,3550.0,Vagon,231,2.0,Diesel,no,2005,Front
Volkswagen,0.0,Van,162,2.0,Diesel,yes,2011,Front
Toyota,99999.0,Crossover,0,4.5,Petrol,yes,2016,Full
Mercedes-Benz,107999.0,Crossover,0,2.98,Diesel,yes,2016,Full
BMW,0.0,Crossover,1,3.0,Diesel,yes,2014,Full
BMW,0.0,Crossover,0,3.0,Diesel,yes,2015,Full
Toyota,74999.0,Crossover,1,4.5,Diesel,yes,2016,Full
Audi,34000.0,Crossover,118,2.0,Diesel,yes,2013,Full
BMW,2850.0,Sedan,214,1.9,Petrol,no,2000,Rear
Volkswagen,3250.0,Sedan,255,1.9,Diesel,no,2003,Front
Volkswagen,16900.0,Crossover,133,2.5,Diesel,yes,2007,Full
Toyota,99999.0,Crossover,0,4.5,Diesel,yes,2016,Full
Chevrolet,6800.0,Sedan,106,1.6,Petrol,yes,2007,Front
Toyota,23400.0,Crossover,120,4.0,Petrol,yes,2007,Full
Skoda,17900.0,Sedan,65,1.8,Petrol,yes,2013,Front
Toyota,37700.0,Crossover,62,3.0,Diesel,yes,2013,Full
Land Rover,29500.0,Crossover,50,3.5,Diesel,yes,2008,Full
Mercedes-Benz,93555.0,Crossover,0,2.65,Other,yes,2016,Unknown
Volkswagen,30000.0,Sedan,67,2.0,Diesel,yes,2013,Front
Mitsubishi,7999.0,Sedan,112,2.0,Petrol,yes,2008,Front
Land Rover,43500.0,Crossover,54,5.0,Petrol,yes,2012,Full
Mercedes-Benz,107777.0,Crossover,0,3.0,Diesel,yes,2016,Full
Mitsubishi,8400.0,Sedan,91,1.5,Petrol,yes,2009,Front
Land Rover,40000.0,Vagon,52,2.2,Diesel,yes,2013,Full
Mercedes-Benz,109999.0,Crossover,0,2.98,Diesel,yes,2016,Full
Opel,2780.0,Sedan,254,2.2,Diesel,yes,2003,Front
Mercedes-Benz,43500.0,Other,51,3.0,Diesel,yes,2014,Rear
Volkswagen,18700.0,Other,145,2.0,Diesel,yes,2011,Front
Chevrolet,7800.0,Sedan,85,1.6,Gas,yes,2012,Front
BMW,6350.0,Crossover,156,4.4,Gas,no,2002,Full
Daewoo,3500.0,Sedan,112,2.65,Petrol,yes,2007,Front
BMW,25500.0,Other,163,4.8,Petrol,yes,2008,Full
Land Rover,53500.0,Crossover,69,3.5,Diesel,yes,2012,Full
Nissan,15999.0,Crossover,59,2.0,Petrol,yes,2011,Full
Nissan,17700.0,Crossover,40,1.6,Petrol,yes,2014,Unknown
Volkswagen,14499.0,Van,164,2.0,Diesel,yes,2013,Front
Daewoo,4300.0,Sedan,70,1.5,Petrol,yes,2007,Front
Mitsubishi,18999.0,Crossover,173,3.8,Gas,yes,2008,Full
Land Rover,0.0,Crossover,45,3.0,Petrol,yes,2014,Full
Mercedes-Benz,71999.0,Crossover,0,2.2,Diesel,yes,2016,Full
Mercedes-Benz,0.0,Crossover,0,3.0,Diesel,yes,2016,Full
Mitsubishi,18500.0,Crossover,135,3.0,Gas,yes,2009,Full
Volkswagen,18900.0,Other,45,2.0,Diesel,yes,2013,Front
Mercedes-Benz,17900.0,Van,167,2.2,Diesel,yes,2012,Unknown
BMW,67500.0,Crossover,1,2.0,Diesel,yes,2016,Full
BMW,67500.0,Crossover,1,2.5,Diesel,yes,2016,Full
Land Rover,28999.0,Crossover,139,3.6,Diesel,yes,2008,Full
Land Rover,49999.0,Crossover,43,5.0,Petrol,yes,2012,Full
Toyota,14700.0,Sedan,139,3.5,Petrol,yes,2008,Front
Land Rover,53500.0,Crossover,57,3.0,Diesel,yes,2013,Full
Daewoo,5600.0,Sedan,145,1.6,Petrol,yes,2008,Front
Land Rover,78900.0,Crossover,0,3.0,Diesel,yes,2015,Full
Skoda,13200.0,Hatch,64,1.8,Petrol,yes,2012,Front
BMW,37200.0,Other,115,3.0,Diesel,yes,2011,Full
Land Rover,27500.0,Other,174,3.6,Diesel,yes,2008,Full
Mazda,9200.0,Sedan,124,2.0,Petrol,yes,2007,Front
Mercedes-Benz,17500.0,Van,220,3.0,Diesel,yes,2012,Rear
Toyota,24000.0,Sedan,16,2.5,Petrol,yes,2013,Front
Land Rover,77777.0,Crossover,42,2.99,Diesel,yes,2014,Full
Mazda,8000.0,Sedan,167,2.0,Petrol,yes,2007,Front
BMW,0.0,Crossover,36,3.0,Diesel,yes,2013,Full
Lexus,85999.0,Crossover,39,5.7,Gas,yes,2013,Full
Mercedes-Benz,2400.0,Sedan,3,3.0,Diesel,yes,1998,Front
Audi,4600.0,Vagon,242,99.99,Diesel,no,2004,Front
Mitsubishi,18900.0,Crossover,127,3.0,Gas,yes,2008,Full
Mercedes-Benz,114999.0,Crossover,0,2.99,Diesel,yes,2016,Full
Mercedes-Benz,103333.0,Crossover,0,3.0,Diesel,yes,2016,Full
Mercedes-Benz,0.0,Crossover,1,3.0,Petrol,yes,2015,Full
Toyota,20800.0,Crossover,107,4.0,Petrol,yes,2006,Full
BMW,24500.0,Crossover,170,4.8,Gas,yes,2007,Full
Toyota,12300.0,Sedan,157,2.4,Gas,yes,2007,Front
BMW,11500.0,Sedan,193,4.4,Petrol,yes,2000,Rear
Mercedes-Benz,13200.0,Van,182,2.2,Diesel,yes,2011,Rear
BMW,29900.0,Crossover,235,3.0,Diesel,yes,2009,Full
Mercedes-Benz,12500.0,Van,167,2.2,Diesel,yes,2013,Rear
Skoda,13999.0,Sedan,88,1.8,Petrol,yes,2012,Front
Lexus,79500.0,Crossover,40,5.7,Petrol,yes,2014,Full
Land Rover,30000.0,Other,155,3.6,Diesel,yes,2008,Full
Lexus,16600.0,Sedan,179,3.0,Petrol,yes,2006,Full
Toyota,14300.0,Sedan,71,2.4,Petrol,yes,2008,Front
Lexus,0.0,Crossover,11,5.7,Petrol,yes,2016,Full
Lexus,47000.0,Crossover,1,5.7,Petrol,yes,2008,Full
Daewoo,3200.0,Sedan,130,1.5,Petrol,yes,2003,Front
Mercedes-Benz,0.0,Other,22,3.0,Diesel,yes,2015,Full
Audi,24996.0,Sedan,98,3.2,Petrol,yes,2009,Full
Mercedes-Benz,9200.0,Other,280,2.4,Petrol,yes,2003,Rear
Audi,6800.0,Sedan,225,2.4,Gas,yes,1998,Front
Ford,15500.0,Crossover,68,2.5,Diesel,yes,2010,Front
Mercedes-Benz,38200.0,Sedan,39,1.6,Petrol,yes,2015,Rear
Hyundai,10500.0,Crossover,120,2.65,Other,yes,2007,Full
Skoda,19200.0,Sedan,75,1.8,Petrol,yes,2014,Front
Mercedes-Benz,125000.0,Sedan,18,3.0,Diesel,yes,2015,Full
Mercedes-Benz,0.0,Sedan,62,3.0,Diesel,yes,2013,Rear
Porsche,51900.0,Sedan,78,4.8,Petrol,yes,2011,Unknown
Porsche,87900.0,Crossover,1,3.0,Diesel,yes,2016,Full
Toyota,9000.0,Sedan,232,2.4,Petrol,yes,2005,Front
Nissan,11500.0,Crossover,128,2.0,Petrol,yes,2008,Unknown
Infiniti,35999.0,Crossover,98,3.7,Gas,yes,2012,Full
Lexus,21900.0,Sedan,77,3.0,Petrol,yes,2008,Rear
Toyota,13900.0,Sedan,139,2.4,Other,yes,2008,Front
Lexus,22400.0,Crossover,100,4.7,Gas,yes,2005,Full
Porsche,81000.0,Crossover,35,4.8,Petrol,yes,2014,Full
Mercedes-Benz,6200.0,Other,340,2.4,Gas,yes,1998,Rear
BMW,66900.0,Crossover,70,3.0,Diesel,yes,2014,Full
Mercedes-Benz,38600.0,Other,12,1.8,Petrol,yes,2012,Rear
Nissan,21850.0,Crossover,64,2.0,Petrol,yes,2013,Full
Mercedes-Benz,37500.0,Other,94,5.5,Petrol,yes,2009,Rear
Nissan,17000.0,Hatch,20,2.65,Other,yes,2014,Front
Audi,39000.0,Sedan,18,1.8,Other,yes,2015,Front
Lexus,44500.0,Crossover,144,5.7,Gas,yes,2009,Full
Mercedes-Benz,24999.0,Sedan,112,2.2,Diesel,yes,2012,Unknown
Toyota,11300.0,Hatch,87,1.0,Petrol,yes,2009,Front
Nissan,25382.955,Crossover,0,1.6,Diesel,yes,2016,Full
Skoda,8100.0,Sedan,135,1.8,Petrol,yes,2008,Front
Mitsubishi,23000.0,Crossover,125,3.0,Gas,yes,2008,Full
Nissan,14200.0,Sedan,28,2.65,Other,yes,2014,Front
Tesla,159600.0,Sedan,0,2.65,Other,yes,2016,Full
Mercedes-Benz,0.0,Vagon,200,2.2,Diesel,yes,2006,Rear
Audi,1950.0,Vagon,210,1.8,Gas,no,1996,Front
Land Rover,33000.0,Crossover,140,5.0,Petrol,yes,2010,Full
Audi,0.0,Crossover,65,3.0,Diesel,yes,2013,Full
Land Rover,51500.0,Crossover,93,3.0,Diesel,yes,2013,Full
Skoda,22700.0,Hatch,24,1.4,Petrol,yes,2014,Front
Nissan,17500.0,Hatch,62,2.65,Other,yes,2013,Front
Skoda,11900.0,Sedan,109,1.8,Petrol,yes,2012,Front
Porsche,0.0,Crossover,200,4.8,Petrol,yes,2007,Full
BMW,28000.0,Sedan,170,2.0,Diesel,yes,2011,Rear
Subaru,12900.0,Vagon,116,2.0,Petrol,yes,2008,Full
Kia,16400.0,Hatch,54,1.6,Diesel,yes,2013,Front
Toyota,24171.42,Sedan,1,2.5,Petrol,yes,2016,Front
Audi,1950.0,Sedan,320,19.0,Other,no,1996,Unknown
Subaru,14000.0,Crossover,171,99.99,Petrol,yes,2010,Full
Volkswagen,9900.0,Sedan,80,1.6,Petrol,yes,2011,Front
Mercedes-Benz,110000.0,Crossover,0,3.0,Diesel,yes,2016,Full
Nissan,16500.0,Hatch,32,2.65,Other,yes,2013,Front
Audi,25500.0,Sedan,140,2.8,Petrol,yes,2012,Front
Renault,13300.0,Other,132,1.5,Diesel,yes,2012,Unknown
Volkswagen,7000.0,Van,345,1.9,Diesel,yes,2006,Front
VAZ,3600.0,Other,80,2.0,Gas,yes,2002,Full
Honda,12990.0,Sedan,111,1.8,Petrol,yes,2011,Front
Porsche,0.0,Sedan,14,3.6,Petrol,yes,2014,Full
Land Rover,147000.0,Crossover,15,5.0,Petrol,yes,2015,Full
Honda,11900.0,Sedan,109,2.4,Petrol,yes,2009,Front
Volkswagen,12199.0,Vagon,149,2.0,Diesel,yes,2008,Front
Chevrolet,5200.0,Sedan,179,1.5,Gas,yes,2008,Front
Toyota,24800.0,Sedan,43,2.5,Gas,yes,2015,Front
Kia,13300.0,Hatch,35,1.6,Petrol,yes,2012,Front
Audi,2200.0,Sedan,250,2.65,Diesel,no,2001,Front
Audi,2300.0,Vagon,250,2.5,Diesel,no,2001,Full
Audi,2350.0,Vagon,250,2.65,Diesel,no,2001,Front
Audi,2500.0,Sedan,180,2.65,Petrol,no,2000,Front
BMW,0.0,Crossover,8,2.0,Diesel,yes,2016,Full
Mitsubishi,6200.0,Sedan,152,1.6,Petrol,yes,2006,Front
Nissan,18200.0,Crossover,65,3.5,Gas,yes,2009,Full
Ford,12500.0,Sedan,63,1.6,Petrol,yes,2013,Front
Porsche,117777.0,Hatch,9,4.8,Petrol,yes,2014,Full
Kia,8800.0,Other,135,2.4,Gas,yes,2006,Full
Porsche,69900.0,Sedan,40,3.0,Diesel,yes,2013,Rear
Opel,5350.0,Sedan,180,1.4,Petrol,yes,2007,Front
Kia,42741.621,Crossover,0,2.2,Diesel,yes,2016,Full
Volkswagen,16500.0,Sedan,123,1.8,Petrol,yes,2010,Front
Chevrolet,6700.0,Sedan,80,1.5,Petrol,yes,2011,Front
Mercedes-Benz,111999.0,Crossover,0,3.0,Diesel,yes,2016,Full
Audi,3700.0,Vagon,273,2.5,Diesel,no,2003,Front
Porsche,0.0,Crossover,13,3.0,Diesel,yes,2015,Full
Alfa Romeo,5900.0,Hatch,199,1.6,Petrol,yes,2002,Front
Toyota,75500.0,Crossover,50,4.6,Petrol,yes,2015,Full
Mercedes-Benz,55000.0,Crossover,40,4.6,Petrol,yes,2013,Full
Mitsubishi,9800.0,Sedan,148,2.0,Gas,yes,2008,Front
Subaru,6100.0,Vagon,350,2.0,Petrol,yes,2005,Full
Chevrolet,5500.0,Sedan,121,1.5,Petrol,yes,2006,Front
Chevrolet,7799.0,Sedan,199,1.6,Gas,yes,2012,Front
Honda,13900.0,Hatch,63,1.8,Petrol,yes,2013,Front
Kia,14500.0,Crossover,106,2.5,Diesel,yes,2008,Full
Smart,8000.0,Other,62,1.0,Petrol,yes,2011,Rear
Renault,14700.0,Crossover,61,1.5,Diesel,yes,2013,Front
Lexus,135555.0,Crossover,0,4.5,Diesel,yes,2016,Full
Hyundai,14500.0,Crossover,102,2.2,Diesel,yes,2008,Full
VAZ,4100.0,Hatch,60,1.6,Petrol,yes,2013,Front
Porsche,54900.0,Sedan,64,4.8,Petrol,yes,2011,Full
BMW,30500.0,Sedan,73,2.0,Petrol,yes,2013,Rear
Volkswagen,10700.0,Sedan,195,3.2,Petrol,yes,2007,Full
Nissan,17700.0,Hatch,21,0.11,Other,yes,2014,Front
Renault,8700.0,Vagon,123,1.5,Diesel,yes,2009,Front
Mitsubishi,6200.0,Sedan,170,2.65,Other,yes,2005,Front
Honda,13200.0,Sedan,145,2.0,Gas,yes,2008,Front
Toyota,59900.0,Crossover,90,4.5,Diesel,yes,2012,Full
Ford,12099.0,Sedan,109,1.6,Gas,yes,2011,Front
Volkswagen,7300.0,Van,240,1.9,Diesel,yes,2005,Front
Mercedes-Benz,24800.0,Other,160,3.0,Diesel,yes,2007,Rear
Tesla,80000.0,Sedan,27,2.65,Other,yes,2013,Front
Ford,12300.0,Hatch,71,1.6,Gas,yes,2013,Front
Subaru,17000.0,Crossover,134,2.0,Petrol,yes,2011,Full
Tesla,58000.0,Hatch,52,2.65,Other,yes,2013,Front
Land Rover,102999.0,Crossover,39,5.0,Petrol,yes,2014,Full
Peugeot,8500.0,Van,135,1.6,Diesel,yes,2009,Front
Hyundai,29999.0,Crossover,52,2.2,Diesel,yes,2014,Full
Suzuki,11500.0,Crossover,101,2.0,Petrol,yes,2008,Full
Kia,20500.0,Crossover,98,2.0,Petrol,yes,2011,Full
BMW,89999.0,Crossover,17,4.4,Petrol,yes,2015,Full
Renault,7800.0,Vagon,120,1.5,Diesel,yes,2008,Front
Lexus,16500.0,Sedan,115,3.0,Petrol,yes,2007,Rear
Renault,10600.0,Vagon,220,2.5,Other,yes,2006,Front
Audi,37800.0,Other,126,3.0,Diesel,yes,2010,Full
Volkswagen,8800.0,Van,93,1.6,Diesel,yes,2012,Front
BMW,8500.0,Sedan,284,1.9,Gas,yes,2000,Rear
Toyota,25900.0,Crossover,97,4.0,Petrol,yes,2009,Full
Land Rover,95000.0,Crossover,60,5.0,Petrol,yes,2014,Full
Toyota,36000.0,Crossover,940,2.65,Other,yes,2009,Unknown
Subaru,8000.0,Crossover,210,2.0,Petrol,yes,2005,Full
BMW,2550.0,Sedan,280,1.6,Petrol,no,2000,Rear
Nissan,18500.0,Hatch,9,2.65,Other,yes,2015,Front
Nissan,20999.0,Hatch,12,2.65,Other,yes,2015,Front
Nissan,14999.0,Hatch,31,1.0,Other,yes,2013,Front
Mercedes-Benz,12600.0,Sedan,123,3.2,Petrol,yes,2000,Rear
Tesla,85500.0,Sedan,1,2.65,Other,yes,2016,Full
Renault,18456.1611,Crossover,1,1.5,Diesel,yes,2016,Full
Mercedes-Benz,8200.0,Sedan,280,2.4,Gas,yes,1997,Rear
Mazda,12500.0,Sedan,89,2.0,Petrol,yes,2009,Front
Peugeot,8300.0,Vagon,135,2.0,Petrol,yes,2008,Front
Audi,4150.0,Sedan,220,2.5,Diesel,no,1999,Front
Audi,46000.0,Sedan,170,4.2,Diesel,yes,2011,Full
Toyota,28700.0,Crossover,100,3.5,Petrol,yes,2012,Full
Daewoo,3499.0,Hatch,104,0.8,Petrol,yes,2008,Front
Skoda,7650.0,Sedan,119,1.8,Gas,yes,2006,Front
Audi,2411.0,Sedan,240,1.6,Other,yes,1987,Front
Volkswagen,8900.0,Van,272,1.9,Diesel,yes,2005,Front
Renault,11500.0,Vagon,230,1.5,Diesel,yes,2012,Front
Volkswagen,4500.0,Van,380,2.0,Diesel,yes,2004,Front
Hyundai,9600.0,Sedan,98,1.4,Petrol,yes,2011,Front
Ford,5900.0,Hatch,138,1.4,Petrol,yes,2008,Front
Mercedes-Benz,9900.0,Sedan,275,2.2,Other,yes,2005,Rear
Toyota,15300.0,Crossover,130,2.0,Petrol,yes,2008,Full
Nissan,9300.0,Hatch,97,1.2,Petrol,yes,2010,Front
Renault,12499.0,Van,78,2.0,Diesel,yes,2012,Front
Nissan,15000.0,Crossover,46,1.6,Petrol,yes,2013,Front
Toyota,37700.0,Crossover,47,5.7,Gas,yes,2009,Full
BMW,8000.0,Sedan,330,2.65,Diesel,yes,1997,Rear
Smart,6500.0,Other,110,1.0,Petrol,yes,2007,Rear
Suzuki,9650.0,Crossover,81,2.0,Petrol,yes,2006,Full
Volkswagen,7000.0,Sedan,185,2.8,Gas,yes,2004,Full
Honda,13200.0,Sedan,100,1.8,Petrol,yes,2012,Front
Honda,13400.0,Sedan,38,1.8,Petrol,yes,2012,Front
Suzuki,6999.0,Crossover,203,2.0,Petrol,yes,2002,Full
BMW,34600.0,Crossover,163,5.0,Petrol,yes,2011,Full
Audi,1300.0,Sedan,250,2.65,Gas,no,1994,Front
Kia,23999.0,Crossover,14,2.2,Diesel,yes,2012,Full
Opel,1600.0,Sedan,280,2.3,Diesel,yes,1987,Rear
Mercedes-Benz,35900.0,Crossover,254,5.0,Gas,yes,2004,Full
Ford,16400.0,Crossover,87,2.5,Petrol,yes,2010,Full
Hyundai,8900.0,Sedan,138,1.4,Petrol,yes,2011,Front
Subaru,38900.0,Crossover,0,2.0,Diesel,yes,2016,Full
Renault,13200.0,Van,230,2.0,Diesel,yes,2009,Front
Toyota,26500.0,Crossover,21,2.0,Petrol,yes,2013,Full
Volkswagen,7800.0,Van,282,2.5,Diesel,yes,2000,Front
Mercedes-Benz,109999.0,Crossover,1,3.0,Diesel,yes,2016,Full
Audi,24900.0,Sedan,163,4.2,Diesel,yes,2008,Full
Lexus,27500.0,Crossover,150,4.7,Gas,yes,2005,Full
Volkswagen,0.0,Vagon,217,2.0,Diesel,no,2008,Full
Daewoo,3950.0,Hatch,36,0.8,Petrol,yes,2011,Front
Tesla,58000.0,Sedan,8,2.65,Other,yes,2013,Front
BMW,63500.0,Crossover,33,3.0,Petrol,yes,2015,Full
Lexus,57800.0,Crossover,60,5.7,Petrol,yes,2011,Full
Renault,6800.0,Van,131,1.5,Diesel,yes,2013,Front
Tesla,59000.0,Sedan,30,2.65,Other,yes,2013,Rear
Nissan,19000.0,Crossover,70,1.6,Petrol,yes,2012,Front
Toyota,14700.0,Sedan,131,3.5,Gas,yes,2007,Front
Smart,10700.0,Other,23,1.0,Petrol,yes,2014,Unknown
Mercedes-Benz,41900.0,Sedan,95,6.2,Petrol,yes,2011,Unknown
Lexus,6000.0,Sedan,350,3.0,Petrol,yes,1996,Rear
Toyota,23000.0,Other,211,4.0,Gas,yes,2007,Full
Mazda,2700.0,Other,450,2.0,Gas,yes,1989,Front
Hyundai,6200.0,Hatch,121,1.4,Gas,yes,2008,Front
Toyota,28900.0,Crossover,20,2.5,Petrol,yes,2013,Full
Volkswagen,19100.0,Sedan,4,1.6,Other,yes,2016,Front
BMW,1500.0,Sedan,270,2.5,Diesel,no,1992,Rear
Renault,5400.0,Vagon,181,1.5,Diesel,no,2010,Front
Nissan,15700.0,Hatch,22,0.11,Other,yes,2013,Front
BMW,26900.0,Crossover,170,3.0,Diesel,yes,2008,Full
